organization,title,location,date_posted,source_url
Amref,Monitoring & Evaluation Associate - Global Fund TB Project,Nairobi,2026-07-14T12:36:37.738Z,https://api.smartrecruiters.com/v1/companies/AmrefHealthAfrica4/postings/744000137657149
Amref,Program Manager-SRHR,Kampala,2026-07-14T07:50:55.688Z,https://api.smartrecruiters.com/v1/companies/AmrefHealthAfrica4/postings/744000137606414
Amref,Senior Lecturer - Counselling Psychology,Nairobi,2026-07-07T08:50:22.263Z,https://api.smartrecruiters.com/v1/companies/AmrefHealthAfrica4/postings/744000136172959
Amref,Senior Lecturer - Clinical psychology,Nairobi,2026-07-07T08:48:46.626Z,https://api.smartrecruiters.com/v1/companies/AmrefHealthAfrica4/postings/744000136171985
Amref,Senior Lecturer - Counselling Psychology,Nairobi,2026-07-07T08:33:51.023Z,https://api.smartrecruiters.com/v1/companies/AmrefHealthAfrica4/postings/744000136169179
Amref,Innovative Training Specialist,Nairobi,2026-06-22T09:43:45.966Z,https://api.smartrecruiters.com/v1/companies/AmrefHealthAfrica4/postings/744000133311585
Amref,General Interest Application,Nairobi,2026-06-22T08:35:50.032Z,https://api.smartrecruiters.com/v1/companies/AmrefHealthAfrica4/postings/744000133284959
Amref,Readvertisement - TVET Trainer Counselling Psychology,Nairobi,2025-11-14T09:10:58.598Z,https://api.smartrecruiters.com/v1/companies/AmrefHealthAfrica4/postings/744000093646848
GiveDirectly,001-07-2026_EMERGENCY COMMUNITY ENGAGEMENT ASSOCIATE,GOMA-BENI & BUTEMBO,2026-07-13T10:51:14-04:00,https://job-boards.greenhouse.io/givedirectly/jobs/4714349005
GiveDirectly,"Chief of Staff, Emergency Cash (Senior Manager)",Remote,2026-07-16T06:13:02-04:00,https://job-boards.greenhouse.io/givedirectly/jobs/4715777005
GiveDirectly,"Community Engagement Coordinator, San Joaquin County, CA","San Joaquin County, CA",2026-06-01T16:23:48-04:00,https://job-boards.greenhouse.io/givedirectly/jobs/4701588005
GiveDirectly,"Country Director, Uganda","Kampala, Uganda",2025-09-30T17:04:08-04:00,https://job-boards.greenhouse.io/givedirectly/jobs/4614283005
GiveDirectly,"Director, Global Talent Acquisition (Remote)",Remote,2026-07-11T08:29:56-04:00,https://job-boards.greenhouse.io/givedirectly/jobs/4714132005
GiveDirectly,Director of Engineering (Remote),Remote,2026-06-15T13:42:39-04:00,https://job-boards.greenhouse.io/givedirectly/jobs/4706119005
GiveDirectly,Field Manager,Field Based,2026-06-29T10:40:38-04:00,https://job-boards.greenhouse.io/givedirectly/jobs/4710175005
GiveDirectly,General Interest,Remote,2022-11-04T10:10:11-04:00,https://job-boards.greenhouse.io/givedirectly/jobs/4129255005
GiveDirectly,Gestor De Campo - Auditoria Interna,Mozambique,2025-12-02T05:13:15-05:00,https://job-boards.greenhouse.io/givedirectly/jobs/4622571005
GiveDirectly,Head of Strategic Partnerships & Influence  (Remote),Remote,2026-03-17T03:18:46-04:00,https://job-boards.greenhouse.io/givedirectly/jobs/4673881005
GiveDirectly,"Program Manager, Research ","Zomba, Malawi ",2026-05-27T09:23:36-04:00,https://job-boards.greenhouse.io/givedirectly/jobs/4699685005
GiveDirectly,Remote Sensing Analyst [Contractor],"New York, United States",2026-06-04T07:08:56-04:00,https://job-boards.greenhouse.io/givedirectly/jobs/4702835005
GiveDirectly,Rwanda Field Officer,Rwanda,2026-07-13T06:24:16-04:00,https://job-boards.greenhouse.io/givedirectly/jobs/4714323005
GiveDirectly,Rwanda Senior Manager - Field Operations and Programs,Rwanda,2026-05-04T08:57:45-04:00,https://job-boards.greenhouse.io/givedirectly/jobs/4692032005
GiveDirectly,"Senior Manager, Accounting (Remote - US)",Remote,2026-04-16T15:57:19-04:00,https://job-boards.greenhouse.io/givedirectly/jobs/4685803005
GiveDirectly,"Senior Manager, Business Operations (Remote)",Remote,2026-05-13T17:15:04-04:00,https://job-boards.greenhouse.io/givedirectly/jobs/4695154005
